id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-138,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,basbar.png,বাস-বার,সিঙ্গেল-ব্রেক আইসোলেটিং সুইচ,কারেন্ট ট্রান্সফরমার,অয়েল সার্কিট ব্রেকার,0,Substation Symbols,busbar,বাস-বারে একাধিক ফিডার সংযুক্ত থাকে।,TRUE,basbar.png,,,,
vq-139,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,single_break_isolator.png,সিঙ্গেল-ব্রেক আইসোলেটিং সুইচ,ডাবল-ব্রেক আইসোলেটিং সুইচ,অন-লোড আইসোলেটিং সুইচ,আর্থ ব্লেডসহ আইসোলেটিং সুইচ,0,Substation Symbols,isolator,একটি বিচ্ছিন্নতা বিন্দুতে সুইচ ব্লেড থাকে।,TRUE,single_break_isolator.png,,,,
vq-140,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,double_break_isolator.png,ডাবল-ব্রেক আইসোলেটিং সুইচ,সিঙ্গেল-ব্রেক আইসোলেটিং সুইচ,অন-লোড আইসোলেটিং সুইচ,এয়ার ব্লাস্ট সার্কিট ব্রেকার,0,Substation Symbols,isolator,দুইটি বিচ্ছিন্নতা বিন্দুতে ব্লেড কাজ করে।,TRUE,double_break_isolator.png,,,,
vq-141,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,on_load_isolator.png,অন-লোড আইসোলেটিং সুইচ,সিঙ্গেল-ব্রেক আইসোলেটিং সুইচ,ডাবল-ব্রেক আইসোলেটিং সুইচ,আর্থ ব্লেডসহ আইসোলেটিং সুইচ,0,Substation Symbols,isolator,লোডের উপস্থিতিতে পরিচালনার জন্য ব্যবহৃত হয়।,TRUE,on_load_isolator.png,,,,
vq-142,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,isolator_with_earth_switch.png,আর্থ ব্লেডসহ আইসোলেটিং সুইচ,অন-লোড আইসোলেটিং সুইচ,লাইটনিং অ্যারেস্টার,আর্থ ফল্ট রিলে,0,Substation Symbols,"isolator,earthing",আর্থিং ব্লেড দিয়ে নিরাপদ গ্রাউন্ডিং করা যায়।,TRUE,isolator_with_earth_switch.png,,,,
vq-143,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,current_transformer.png,কারেন্ট ট্রান্সফরমার,পটেনশিয়াল ট্রান্সফরমার,ক্যাপাসিটিভ ভোল্টেজ ট্রান্সফরমার,৩-ফেজ পাওয়ার ট্রান্সফরমার,0,Substation Symbols,ct,লাইনের কারেন্ট মাপতে CT সিরিজে সংযুক্ত থাকে।,TRUE,current_transformer.png,,,,
vq-144,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,potential_transformer.png,পটেনশিয়াল ট্রান্সফরমার,কারেন্ট ট্রান্সফরমার,ক্যাপাসিটিভ ভোল্টেজ ট্রান্সফরমার,ওভারকারেন্ট রিলে,0,Substation Symbols,pt,ভোল্টেজ মাপ ও রিলে সার্কিটে PT ব্যবহৃত হয়।,TRUE,potential_transformer.png,,,,
vq-145,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,capacitive_voltage_transformer.png,ক্যাপাসিটিভ ভোল্টেজ ট্রান্সফরমার,পটেনশিয়াল ট্রান্সফরমার,কারেন্ট ট্রান্সফরমার,৩-ফেজ পাওয়ার ট্রান্সফরমার,0,Substation Symbols,cvt,ক্যাপাসিটর ও ট্রান্সফরমার সমন্বয়ে CVT গঠিত।,TRUE,capacitive_voltage_transformer.png,,,,
vq-146,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,oil_circuit_breaker.png,অয়েল সার্কিট ব্রেকার,এয়ার ব্লাস্ট সার্কিট ব্রেকার,ওভারকারেন্ট ট্রিপিং ডিভাইসসহ এয়ার সার্কিট ব্রেকার,আইসোলেটিং সুইচ,0,Substation Symbols,ocb,তেলে ডুবিয়ে আর্ক নিভানো হয়।,TRUE,oil_circuit_breaker.png,,,,
vq-147,bn,image_to_text,সাবস্টেশন এক-লাইন ডায়াগ্রামে দেখানো এই সিম্বলটি কোন সরঞ্জাম নির্দেশ করে?,air_circuit_breaker_oc.png,ওভারকারেন্ট ট্রিপিং ডিভাইসসহ এয়ার সার্কিট ব্রেকার,অয়েল সার্কিট ব্রেকার,এয়ার ব্লাস্ট সার্কিট ব্রেকার,লাইটনিং অ্যারেস্টার,0,Substation Symbols,acb,ওভারকারেন্টে স্বয়ংক্রিয়ভাবে খুলে যায়।,TRUE,air_circuit_breaker_oc.png,,,,
