id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-001,bn,image_to_text,নিচের ছবিতে কোন যন্ত্রটি দেখা যাচ্ছে?,img_1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr.jpg,মেগার (ইনসুলেশন টেস্টার),ডিজিটাল মাল্টিমিটার,ক্ল্যাম্প মিটার,আর্থ টেস্টার,0,Tools,"megger,insulation",ইনসুলেশন রেজিস্ট্যান্স মাপতে ব্যবহৃত হয়।,TRUE,img_1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr.jpg,,,,
vq-002,bn,text_to_image,নিচের কোনটি হেলমেট?,,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,img_1PygiMYqqr1QClPDVser-ZExOWwbl0btA.jpg,0,PPE,"helmet,head_protection",মাথায় আঘাত থেকে রক্ষা পেতে ব্যবহৃত হয়।,TRUE,,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,img_1PygiMYqqr1QClPDVser-ZExOWwbl0btA.jpg
vq-003,bn,image_to_text,ছবির যন্ত্রটির নাম কী?,img_1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT.jpg,আর্থ টেস্টার,মেগার,মাল্টিমিটার,ফেজ চেকার,0,Tools,"earth_tester,earthing",মাটির রেজিস্ট্যান্স পরিমাপের যন্ত্র।,TRUE,img_1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT.jpg,,,,
vq-004,bn,text_to_image,বৈদ্যুতিক লাইনে কাজ করার সময় হাতের সুরক্ষায় কোনটি ব্যবহৃত হয়?,,img_1MAUYMbUWD91sOWrr2S07vFnLFke6hReM.jpg,img_1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6.jpg,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,img_1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC.jpg,0,PPE,"gloves,electrical",ইলেকট্রিক্যাল গ্লাভস বৈদ্যুতিক কাজের জন্য বিশেষভাবে তৈরি।,TRUE,,img_1MAUYMbUWD91sOWrr2S07vFnLFke6hReM.jpg,img_1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6.jpg,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,img_1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC.jpg
vq-005,bn,image_to_text,ছবিতে কোন ইনসুলেটরটি দেখা যাচ্ছে?,img_1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1.jpg,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,গাই ইনসুলেটর,0,Insulators,"pin,porcelain",পিনে বসানো হয় এই ইনসুলেটর।,TRUE,img_1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1.jpg,,,,
vq-006,bn,text_to_image,বৈদ্যুতিক কাজের জন্য কোন মই নিরাপদ?,,img_1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7.jpg,img_1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5.jpg,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,img_1PygiMYqqr1QClPDVser-ZExOWwbl0btA.jpg,0,PPE,"ladder,frp",FRP মই বিদ্যুৎ পরিবাহী নয়।,TRUE,,img_1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7.jpg,img_1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5.jpg,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,img_1PygiMYqqr1QClPDVser-ZExOWwbl0btA.jpg
vq-007,bn,image_to_text,ছবিতে কোন মাপার যন্ত্র দেখা যাচ্ছে?,img_1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK.jpg,ক্ল্যাম্প মিটার,মাল্টিমিটার,মেগার,হাই ভোল্টেজ ডিটেক্টর,0,Tools,"clamp,current",তার না কেটে কারেন্ট পরিমাপ করে।,TRUE,img_1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK.jpg,,,,
vq-009,bn,image_to_text,ছবির যন্ত্রটির নাম কী?,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,সেফটি বেল্ট (হারনেস),ল্যানিয়ার্ড হুক,ম্যানিলা রোপ,রিফ্লেক্টিভ ভেস্ট,0,PPE,"harness,fall_protection",উচ্চতায় কাজে পতন রোধে ব্যবহৃত হয়।,TRUE,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,,,,
vq-010,bn,text_to_image,তিন ফেজ লাইনের সঠিক ক্রম যাঁচাই করার যন্ত্র কোনটি?,,img_1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v.jpg,img_1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2.jpg,img_1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc.jpg,img_1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr.jpg,0,Tools,"phase_sequence,three_phase",RYB ক্রম যাঁচাই করতে ব্যবহৃত হয়।,TRUE,,img_1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v.jpg,img_1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2.jpg,img_1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc.jpg,img_1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr.jpg
vq-011,bn,image_to_text,ছবিতে কোন PPE দেখা যাচ্ছে?,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,সেফটি গগলস,হেলমেট,আর্ক ফ্ল্যাশ ফেস শিল্ড,কাট রেজিস্ট্যান্ট গ্লাভস,0,PPE,"goggles,eye_protection",চোখকে ধুলো ও কণা থেকে রক্ষা করে।,TRUE,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,,,,
