id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-proc-01,bn,image_to_text,শাট ডাউনের পর আগে কী করবেন?,proc_test_before_climb.webp,সোজা খুঁটিতে উঠবে,লাইন ডেড আছে কিনা চেক,টুলব্যাগ খুলে দেখবে,টর্চ জ্বালিয়ে নেবে,1,Procedure,"hard,voltage_test,shutdown,workflow",উঠবার বা হাত দেবার আগে লাইন ডেড আছে কিনা চেক করুন।,TRUE,proc_test_before_climb.webp,,,,
vq-proc-02,bn,image_to_text,ছবিতে কাজ শুরুতে কী বাদ পড়েছে?,proc_missing_earth.webp,হেলমেট পরেনি,আর্থ-শর্ট করেনি,টুল চেক করেনি,ফোন চার্জ করেনি,1,Procedure,"hard,earthing,shorting,workflow",লাইন চেকের পর আর্থ-শর্ট করে তবেই কাজে নামুন।,TRUE,proc_missing_earth.webp,,,,
vq-proc-03,bn,image_to_text,ছবিতে সবচেয়ে বড় ভুল কোনটা?,proc_restore_too_soon.webp,হেলমেট খুলে রেখেছে,আগে লাইন চালু করেছে,টুল নামিয়ে রেখেছে,কোন সরিয়ে ফেলেছে,1,Procedure,"hard,restore,sequence,workflow",আগে আর্থ খুলুন, লোক নামান, তারপর লাইন চালু।,TRUE,proc_restore_too_soon.webp,,,,
vq-proc-04,bn,image_to_text,খুঁটিতে ওঠার সময় কী কমতি?,proc_climb_not_tied.webp,হারনেস পরেনি,হারনেস বেঁধে রাখেনি,হেলমেট পরেনি,গ্লাভস পরেনি,1,Procedure,"hard,tie_off,height,workflow",হারনেস পরলেও অ্যাঙ্করে না বেঁধে ওঠা যাবে না।,TRUE,proc_climb_not_tied.webp,,,,
vq-proc-05,bn,image_to_text,কাজ ধরার আগে কী পাকা হতে হবে?,proc_work_before_clearance.webp,টুল গুনে নিয়েছে,শাট ডাউনের ক্লিয়ারেন্স,ছবি তুলে রেখেছে,গাড়ি পার্ক করেছে,1,Procedure,"hard,ptw,clearance,workflow",কন্ট্রোল/অপারেটরের ক্লিয়ারেন্স না পেলে কাজ শুরু করবেন না।,TRUE,proc_work_before_clearance.webp,,,,
vq-proc-06,bn,image_to_text,সাইটে এসে প্রথমে কী করবেন?,proc_ppe_first.webp,সোজা খুঁটিতে উঠবে,পিপিই পরে নেবে,টুল ছড়িয়ে দেবে,লাইনে হাত দেবে,1,Procedure,"hard,ppe,start,workflow",কাজ ধরার আগে হেলমেট-গ্লাভস-সু সহ পিপিই পরে নিন।,TRUE,proc_ppe_first.webp,,,,
vq-proc-07,bn,image_to_text,শাট ডাউনের আগে কী মিলিয়ে নেবেন?,proc_wrong_feeder.webp,টুল গুনে নেওয়া,ঠিক ফিডার আর লাইন,গাড়ির তেল দেখা,ছবি তুলে রাখা,1,Procedure,"hard,identification,feeder,workflow",ভুল খুঁটি বা ফিডারে কাজ করলে বিপদ—আগে মিলিয়ে নিন।,TRUE,proc_wrong_feeder.webp,,,,
vq-proc-08,bn,image_to_text,আর্থিংয়ে কী সমস্যা আছে?,proc_earth_one_side.webp,এক দিকেই আর্থ,দুই দিকে আর্থ-শর্ট,শুধু এলটি আর্থ,শুধু রড আর্থ,0,Procedure,"hard,earthing,both_sides,workflow",কাজের দুই দিকেই আর্থ-শর্ট দিতে হয়।,TRUE,proc_earth_one_side.webp,,,,
vq-proc-09,bn,image_to_text,রোডের পাশে কাজ—কী বাদ?,proc_no_road_barrier.webp,হেলমেট পরা,কোন-ব্যারিয়ার,টুল চেক,ফোন বন্ধ,1,Procedure,"hard,barrier,roadside,workflow",গাড়ি চলা রাস্তায় কোন দিয়ে জায়গা ঘিরে নিন।,TRUE,proc_no_road_barrier.webp,,,,
vq-proc-10,bn,image_to_text,কাজ শেষে বড় ভুল কোনটা?,proc_earth_left_on.webp,টুল ফেলে রেখেছে,আর্থ লাগিয়ে রেখেছে,হেলমেট খুলে রেখেছে,ছবি তোলেনি,1,Procedure,"hard,earth_removal,closeout,workflow",লাইন চালুর আগে সব আর্থ-শর্ট খুলে সরিয়ে ফেলুন।,TRUE,proc_earth_left_on.webp,,,,
