id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-mat-01,bn,image_to_text,ছবিতে কোন ইনসুলেটর?,mat_pin_insulator.webp,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,গাই ইনসুলেটর,0,Insulators,"medium,pin,identify",পিনে বসে—পিন ইনসুলেটর।,TRUE,mat_pin_insulator.webp,,,,
vq-mat-02,bn,image_to_text,ছবিতে কোন ইনসুলেটর?,mat_disc_insulator.webp,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,রিল ইনসুলেটর,1,Insulators,"medium,disc,identify",টেনশন লাইনে ডিস্ক ইনসুলেটর লাগে।,TRUE,mat_disc_insulator.webp,,,,
vq-mat-03,bn,image_to_text,ছবিতে কোন ইনসুলেটর?,mat_shackle_insulator.webp,পিন ইনসুলেটর,ডিস্ক ইনসুলেটর,শ্যাকল ইনসুলেটর,গাই ইনসুলেটর,2,Insulators,"medium,shackle,identify",এলটি বাঁক/ডেড-এন্ডে শ্যাকল ইনসুলেটর।,TRUE,mat_shackle_insulator.webp,,,,
vq-mat-04,bn,image_to_text,ছবিতে কোন পিপিই?,mat_helmet.webp,সেফটি হেলমেট,আর্ক ফেস শিল্ড,সেফটি গগলস,রিফ্লেক্টিভ ভেস্ট,0,PPE,"medium,helmet,identify",মাথার আঘাত রোধে হেলমেট।,TRUE,mat_helmet.webp,,,,
vq-mat-05,bn,image_to_text,ছবিতে কোন পিপিই?,mat_harness.webp,কোমরের বেল্ট,পুরো হারনেস,ল্যানিয়ার্ড হুক,পজিশন রোপ,1,PPE,"medium,harness,identify",ওপরে কাজে পুরো হারনেস লাগে।,TRUE,mat_harness.webp,,,,
vq-mat-06,bn,image_to_text,ছবিতে কোন গ্লাভস?,mat_elec_gloves.webp,কাট-প্রতিরোধী গ্লাভস,ইলেকট্রিক্যাল গ্লাভস,লেদার গ্লাভস,কটন গ্লাভস,1,PPE,"medium,gloves,identify",লাইভ/ঝুঁকির কাজে ইলেকট্রিক্যাল গ্লাভস।,TRUE,mat_elec_gloves.webp,,,,
vq-mat-07,bn,image_to_text,ছবিতে কোন মাপার যন্ত্র?,mat_clamp_meter.webp,মাল্টিমিটার,ক্ল্যাম্প মিটার,মেগার,আর্থ টেস্টার,1,Tools,"medium,clamp,identify",তার কাটছাড়া কারেন্ট মাপে ক্ল্যাম্প মিটার।,TRUE,mat_clamp_meter.webp,,,,
vq-mat-08,bn,image_to_text,ছবিতে কোন টেস্টার?,mat_megger.webp,মাল্টিমিটার,মেগার,আর্থ টেস্টার,ফেজ সিকোয়েন্স,1,Tools,"medium,megger,identify",ইনসুলেশন রেজিস্ট্যান্স মাপে মেগার।,TRUE,mat_megger.webp,,,,
vq-mat-09,bn,image_to_text,ছবিতে কোন মই?,mat_frp_ladder.webp,বাঁশের মই,FRP মই,মেটাল মই,রোল ল্যাডার,1,Tools,"medium,frp,ladder,identify",বিদ্যুৎ কাজে FRP মই নিরাপদ।,TRUE,mat_frp_ladder.webp,,,,
vq-mat-10,bn,image_to_text,ছবিতে কোন এবি ফিটিং?,mat_ipc.webp,সাসপেনশন ক্ল্যাম্প,আইপিসি কানেক্টর,অ্যাঙ্কর ক্ল্যাম্প,মিড-স্প্যান জয়েন্ট,1,AB Cable,"medium,ipc,identify",সার্ভিস ট্যাপে IPC (ইনসুলেশন পিয়ার্সিং)।,TRUE,mat_ipc.webp,,,,
