id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-vcb-01,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_vacuum_interrupter.webp,ভ্যাকুয়াম ইন্টারাপ্টার,স্প্রিং মেকানিজম,ট্রিপ কয়েল,ক্লোজিং কয়েল,0,VCB Parts,"hard,vcb,vacuum_interrupter,identify",আর্ক ভ্যাকুয়াম বোতলে নিভে—ভ্যাকুয়াম ইন্টারাপ্টার।,TRUE,vcb_part_vacuum_interrupter.webp,,,,
vq-vcb-02,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_spring_mechanism.webp,সেফটি শাটার,স্প্রিং অপারেটিং মেকানিজম,সেকেন্ডারি প্লাগ,কারেন্ট ট্রান্সফরমার,1,VCB Parts,"hard,vcb,spring_mechanism,identify",চার্জ স্প্রিং ও লিংকেজ—স্প্রিং অপারেটিং মেকানিজম।,TRUE,vcb_part_spring_mechanism.webp,,,,
vq-vcb-03,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_trip_coil.webp,ক্লোজিং কয়েল,চার্জিং হ্যান্ডেল,ট্রিপ কয়েল,পজিশন ইনডিকেটর,2,VCB Parts,"hard,vcb,trip_coil,identify",ব্রেকার ওপেন/ট্রিপ করায়—ট্রিপ কয়েল।,TRUE,vcb_part_trip_coil.webp,,,,
vq-vcb-04,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_primary_contacts.webp,প্রাইমারি ডিসকানেক্ট কন্টাক্ট,সেকেন্ডারি কন্ট্রোল প্লাগ,ভ্যাকুয়াম বোতল,ট্রিপ কয়েল,0,VCB Parts,"hard,vcb,primary_contacts,identify",বাসবার/কেবল সাইডে আঙুল/টিউলিপ কন্টাক্ট—প্রাইমারি ডিসকানেক্ট।,TRUE,vcb_part_primary_contacts.webp,,,,
vq-vcb-05,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_truck.webp,সেফটি শাটার,উইথড্রয়েবল ট্রাক,আর্থ সুইচ,বাসবার চেম্বার,1,VCB Parts,"hard,vcb,truck,identify",র্যাক ইন/আউট করা গাড়ি—উইথড্রয়েবল ট্রাক।,TRUE,vcb_part_truck.webp,,,,
vq-vcb-06,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_shutter.webp,অটোমেটিক সেফটি শাটার,প্রাইমারি কন্টাক্ট,পজিশন ইনডিকেটর,ইন্টারলক লিভার,0,VCB Parts,"hard,vcb,shutter,identify",ট্রাক বের করলে বাস ওপেনিং ঢাকে—সেফটি শাটার।,TRUE,vcb_part_shutter.webp,,,,
vq-vcb-07,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_ct.webp,ভোল্টেজ ট্রান্সফরমার,কারেন্ট ট্রান্সফরমার,ক্লোজিং কয়েল,স্প্রিং চার্জার,1,VCB Parts,"hard,vcb,ct,identify",কারেন্ট মাপার রিং/বার টাইপ—কারেন্ট ট্রান্সফরমার (CT)।,TRUE,vcb_part_ct.webp,,,,
vq-vcb-08,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_secondary_plug.webp,প্রাইমারি ডিসকানেক্ট,ম্যানুয়াল চার্জ হ্যান্ডেল,সেকেন্ডারি কন্ট্রোল প্লাগ,ভ্যাকুয়াম ইন্টারাপ্টার,2,VCB Parts,"hard,vcb,secondary_plug,identify",অক্জিলিয়ারি ওয়্যারিংয়ের মাল্টি-পিন প্লাগ—সেকেন্ডারি প্লাগ।,TRUE,vcb_part_secondary_plug.webp,,,,
vq-vcb-09,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_position_indicator.webp,স্প্রিং চার্জ ইনডিকেটর,ON/OFF পজিশন ইনডিকেটর,অ্যামিটার,প্রেসার গেজ,1,VCB Parts,"hard,vcb,position_indicator,identify",ব্রেকার ওপেন/ক্লোজ অবস্থা দেখায়—পজিশন ইনডিকেটর।,TRUE,vcb_part_position_indicator.webp,,,,
vq-vcb-10,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_charge_handle.webp,ম্যানুয়াল স্প্রিং চার্জিং হ্যান্ডেল,র্যাকিং হ্যান্ডেল,ট্রিপ পুশবাটন,ইন্টারলক কী,0,VCB Parts,"hard,vcb,charge_handle,identify",হাতে স্প্রিং চার্জ করার হাতল—ম্যানুয়াল চার্জিং হ্যান্ডেল।,TRUE,vcb_part_charge_handle.webp,,,,
vq-vcb-11,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_closing_coil.webp,ট্রিপ কয়েল,ক্লোজিং কয়েল,আন্ডার ভোল্টেজ কয়েল,চার্জিং মোটর,1,VCB Parts,"hard,vcb,closing_coil,identify",ব্রেকার ক্লোজ করায়—ক্লোজিং কয়েল।,TRUE,vcb_part_closing_coil.webp,,,,
vq-vcb-12,bn,image_to_text,লাইনম্যান যে ১১কেভি ইনডোর VCB অংশ দেখাচ্ছে—নাম কী?,vcb_part_interlock.webp,সেফটি শাটার,প্রাইমারি কন্টাক্ট,মেকানিক্যাল ইন্টারলক,সেকেন্ডারি প্লাগ,2,VCB Parts,"hard,vcb,interlock,identify",ভুল সিকোয়েন্স আটকায়—মেকানিক্যাল ইন্টারলক।,TRUE,vcb_part_interlock.webp,,,,
