id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-swy-01,bn,image_to_text,পারমিট এক বেতে আছে কিন্তু কাজ অন্য বেতে শুরু হয়েছে। আগে কী করা দরকার ছিল?,swy_01_wrong_bay.webp,বে নম্বর আর পারমিট মিলিয়ে নেওয়া,ল্যাম্পের রং মিলিয়ে নেওয়া,মিটার রিডিং লিখে নেওয়া,গেটের লক চেক করে নেওয়া,0,Switchyard Safety,"hard,bay_identification,permit,switchyard",কাজ ধরার আগে পারমিট দেখে বে নম্বর দুজন মিলে মিলিয়ে নিন।,TRUE,swy_01_wrong_bay.webp,,,,
vq-swy-02,bn,image_to_text,আইসোলেটর ওপেন কিন্তু আর্থ দেওয়া নেই। কাজ শুরুর আগে কী করবেন?,swy_02_no_earth_after_isolator.webp,টুলব্যাগ গুছিয়ে নেওয়া,প্যানেল ল্যাম্প টেস্ট করা,আর্থ-শর্ট লাগিয়ে নেওয়া,গেট বন্ধ করে রাখা,2,Switchyard Safety,"hard,earthing,isolator,isolation",আইসোলেটর ওপেনের পর লাইনে আর্থ-শর্ট দিয়ে তবেই কাজে নামুন।,TRUE,swy_02_no_earth_after_isolator.webp,,,,
vq-swy-03,bn,image_to_text,পোর্টেবল আর্থের ক্ল্যাম্প মাটিতে ঠিকমতো ধরেনি। কী করবেন?,swy_03_loose_earth_clamp.webp,ক্ল্যাম্প রেখে কাজ শুরু করা,শুধু উপরের হুক চেক করা,আর্থ স্টিক সরিয়ে রাখা,ক্ল্যাম্প টাইট করে আর্থ মেলানো,3,Switchyard Safety,"hard,portable_earth,clamp,earth_mat",আর্থ ক্ল্যাম্প আর্থ ম্যাট/বারে শক্ত করে ধরিয়ে কন্টিনিউটি দেখুন।,TRUE,swy_03_loose_earth_clamp.webp,,,,
vq-swy-04,bn,image_to_text,কর্মী লাইভ বাসের নিচে হেঁটে যাচ্ছে। এখন কী করবেন?,swy_04_under_live_bus.webp,ক্লিয়ারেন্স মেপে নিরাপদ পথ নেওয়া,টুলব্যাগ হাতে নিয়ে চলা,পারমিট বোর্ড দেখে নেওয়া,হেলমেট স্ট্র্যাপ টাইট করা,0,Switchyard Safety,"hard,clearance,live_bus,approach",লাইভ বাসের নিচে না গিয়ে নির্ধারিত পথ আর নিরাপদ দূরত্ব মেনে চলুন।,TRUE,swy_04_under_live_bus.webp,,,,
vq-swy-05,bn,image_to_text,কর্মী হেলমেট ছাড়া সুইচইয়ার্ডে ঢুকছে। গেটে কী করবেন?,swy_05_no_helmet_entry.webp,শুধু সেফটি সু চেক করা,হেলমেট পরিয়ে তবেই ঢোকানো,টুলব্যাগ চেক করে দেওয়া,গেট লগবুকে নাম লেখা,1,Switchyard Safety,"hard,ppe,helmet,entry",সুইচইয়ার্ডে ঢোকার আগে হেলমেট-সেফটি সু সহ পিপিই পরে নিন।,TRUE,swy_05_no_helmet_entry.webp,,,,
vq-swy-06,bn,image_to_text,গ্যান্ট্রিতে হারনেস ছাড়া উঠছে। ওঠার আগে কী লাগবে?,swy_06_no_harness_climb.webp,অতিরিক্ত গ্লাভস পরা,টুলব্যাগ নিচে রাখা,রেডিও চালু করে রাখা,ফুল-বডি হারনেস বেঁধে ওঠা,3,Switchyard Safety,"hard,height,harness,structure",স্ট্রাকচারে ওঠার আগে হারনেস পরে অ্যাঙ্করে বেঁধে নিন।,TRUE,swy_06_no_harness_climb.webp,,,,
vq-swy-07,bn,image_to_text,গাড়ি লাইভ বাসের নিচে পার্ক করা আছে। কী করবেন?,swy_07_vehicle_under_bus.webp,গাড়ি সেখানেই রেখে কাজ করা,নির্ধারিত পার্কিংয়ে সরানো,শুধু হর্ন দিয়ে সাবধান করা,গেট বন্ধ করে রাখা,1,Switchyard Safety,"hard,vehicle,live_bus,parking",গাড়ি লাইভ লাইনের নিচে নয়—নির্ধারিত নিরাপদ জায়গায় পার্ক করুন।,TRUE,swy_07_vehicle_under_bus.webp,,,,
vq-swy-08,bn,image_to_text,সুইচইয়ার্ডের গেট খোলা আর বাইরের লোক ঢুকছে। কী করবেন?,swy_08_gate_left_open.webp,গেট খোলা রেখে কাজ চালানো,শুধু সিসিটিভি দেখে নেওয়া,পারমিট বোর্ড সরিয়ে রাখা,গেট বন্ধ করে এন্ট্রি নিয়ন্ত্রণ করা,3,Switchyard Safety,"hard,gate_control,unauthorized_entry,security",গেট বন্ধ রাখুন; অনুমতি আর পিপিই ছাড়া কাউকে ঢোকাবেন না।,TRUE,swy_08_gate_left_open.webp,,,,
vq-swy-09,bn,image_to_text,ঝোড় বৃষ্টিতে বাইরে সুইচিং চলছে। এখন কী করা উচিত?,swy_09_switching_in_rain.webp,বৃষ্টিতেই সুইচিং শেষ করা,আবহাওয়া থামলে সুইচিং করা,শুধু গ্লাভস বদলে নেওয়া,রেডিও লাউড করে রাখা,1,Switchyard Safety,"hard,weather,outdoor_switching,rain",ঝোড় বৃষ্টি/ঝড় থাকলে বাইরের সুইচিং থামিয়ে নিরাপদ আশ্রয়ে থাকুন।,TRUE,swy_09_switching_in_rain.webp,,,,
vq-swy-10,bn,image_to_text,ক্যাপাসিটর ব্যাংকে কাজ ধরার আগে ডিসচার্জ হয়নি। কী করবেন?,swy_10_cap_no_discharge.webp,সরাসরি টার্মিনাল খোলা,শুধু আইসোলেটর ওপেন দেখা,তেলের লেভেল মেপে নেওয়া,ডিসচার্জ রড দিয়ে ডিসচার্জ করা,3,Switchyard Safety,"hard,capacitor,discharge,residual_charge",ক্যাপাসিটর ব্যাংকে হাত দেওয়ার আগে ডিসচার্জ রড দিয়ে চার্জ নামান।,TRUE,swy_10_cap_no_discharge.webp,,,,
vq-swy-11,bn,image_to_text,অস্থায়ী ওয়ার্ক ফেন্স লাগানো হয়েছে কিন্তু আর্থ নেই। কী করবেন?,swy_11_fence_not_earthed.webp,ফেন্সকে আর্থ ম্যাটে জুড়ে দেওয়া,ফেন্স রেখেই কাজ শুরু করা,শুধু ফেন্সের লক চেক করা,কোন টেপ আরও বাড়ানো,0,Switchyard Safety,"hard,temporary_fence,earthing,induction",মেটাল ওয়ার্ক ফেন্স অবশ্যই আর্থ ম্যাটে বন্ডিং করে নিন।,TRUE,swy_11_fence_not_earthed.webp,,,,
vq-swy-12,bn,image_to_text,কেবল ট্রেঞ্চ খোলা আছে কিন্তু কোন/ব্যারিয়ার নেই। কী করবেন?,swy_12_trench_no_barrier.webp,কভার না দিয়েই কাজ চালানো,কোন-ব্যারিয়ার দিয়ে ঘিরে নেওয়া,শুধু ক্লিপবোর্ডে নোট করা,টুলব্যাগ পাশে রাখা,1,Switchyard Safety,"hard,excavation,barrier,housekeeping",খোলা ট্রেঞ্চ কোন/ব্যারিয়ার দিয়ে ঘিরে চলার পথ নিরাপদ রাখুন।,TRUE,swy_12_trench_no_barrier.webp,,,,
