id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-ctrl-01,bn,image_to_text,অপারেটর ভুল প্যানেলের হ্যান্ডেল ধরেছে। আগে কী করা দরকার ছিল?,ctrl_01_wrong_panel.webp,ল্যাম্পের রং মিলিয়ে নেওয়া,প্যানেল আর ফিডার মিলিয়ে নেওয়া,মিটার রিডিং লিখে নেওয়া,পারমিটের সময় দেখে নেওয়া,1,Control Room,"hard,panel_identification,teamwork,control_room",হ্যান্ডেল ধরার আগে পারমিট দেখে দুজন মিলে প্যানেল আর ফিডার মিলিয়ে নিন।,TRUE,ctrl_01_wrong_panel.webp,,,,
vq-ctrl-02,bn,image_to_text,আর্থ সুইচ এখনও ক্লোজ। ব্রেকার ক্লোজের আগে কী করতে হবে?,ctrl_02_earth_still_on.webp,আর্থ ওপেন নিশ্চিত করা,ব্রেকার ক্লোজ করে দেখা,কন্ট্রোল সাপ্লাই অফ করা,ট্রিপ সার্কিট ব্লক করা,0,Control Room,"hard,earthing,breaker_close,control_room",আর্থ পুরো ওপেন হয়েছে নিশ্চিত না হলে ব্রেকার ক্লোজ নয়।,TRUE,ctrl_02_earth_still_on.webp,,,,
vq-ctrl-03,bn,image_to_text,নতুন অপারেটর ডিউটি নিয়েই প্যানেল ধরেছে। আগে কী করা দরকার ছিল?,ctrl_03_no_handover.webp,প্যানেলের ল্যাম্প দেখে নেওয়া,লগবুকে সময় লিখে নেওয়া,লগবুক দেখে হ্যান্ডওভার নেওয়া,টুলব্যাগ গুছিয়ে নেওয়া,2,Control Room,"hard,handover,logbook,teamwork",ডিউটি ধরার আগে আগের অপারেটরের কাছ থেকে লগবুকসহ হ্যান্ডওভার নিন।,TRUE,ctrl_03_no_handover.webp,,,,
vq-ctrl-04,bn,image_to_text,ট্রিপের পর রিলে ফ্ল্যাগ উঠেছে। রিসেটের আগে কী দেখবেন?,ctrl_04_alarm_before_flag.webp,অ্যালার্ম রিসেট করে দেওয়া,কোন রিলে ট্রিপ করেছে দেখা,ব্রেকার আবার ক্লোজ করা,প্যানেলের দরজা বন্ধ করা,1,Control Room,"hard,relay,alarm,trip_flag",ফ্ল্যাগ দেখে কোন প্রোটেকশনে ট্রিপ হয়েছে আগে নোট করুন।,TRUE,ctrl_04_alarm_before_flag.webp,,,,
vq-ctrl-05,bn,image_to_text,মেনটেন্যান্সের পর কন্ট্রোল ফিউজ খোলা আছে। অপারেশনের আগে কী করবেন?,ctrl_05_control_fuse_missing.webp,প্যানেল ল্যাম্প টেস্ট করা,ডিসি ভোল্টেজ মেপে দেখা,ট্রিপ সার্কিট চেক করা,ফিউজ বসিয়ে সার্কিট চেক করা,3,Control Room,"hard,control_fuse,maintenance,restoration",কন্ট্রোল ফিউজ ঠিকভাবে বসিয়ে সার্কিট নরমাল হয়েছে কিনা দেখে নিন।,TRUE,ctrl_05_control_fuse_missing.webp,,,,
vq-ctrl-06,bn,image_to_text,কন্ট্রোল ডিসি মিটার লো দেখাচ্ছে। ব্রেকার অপারেট করার আগে কী করবেন?,ctrl_06_dc_supply_low.webp,ডিসি কমার কারণ চেক করা,এসি সাপ্লাই বন্ধ করে দেওয়া,মিটারের রেঞ্জ বদলে দেওয়া,প্যানেল ল্যাম্প টেস্ট করা,0,Control Room,"hard,dc_supply,battery,breaker",কন্ট্রোল ডিসি কম থাকলে আগে ব্যাটারি-চার্জার সাপ্লাই দেখে কারণ ঠিক করুন।,TRUE,ctrl_06_dc_supply_low.webp,,,,
vq-ctrl-07,bn,image_to_text,ফিল্ড থেকে কাজ শেষ বলা হয়েছে কিন্তু পারমিট ফেরত আসেনি। কী করবেন?,ctrl_07_permit_not_returned.webp,ফোনের সময় লিখে নেওয়া,প্যানেলের ল্যাম্প দেখে নেওয়া,পারমিট ফেরত নিয়ে ক্লিয়ার নেওয়া,লগবুকের পাতা বন্ধ করা,2,Control Room,"hard,permit,energization,field_team",পারমিট ফেরত আর ক্লিয়ার না পাওয়া পর্যন্ত লাইন চালু করবেন না।,TRUE,ctrl_07_permit_not_returned.webp,,,,
vq-ctrl-08,bn,image_to_text,ফোনে সুইচিং ইনস্ট্রাকশন এসেছে। প্যানেল ধরার আগে কী করবেন?,ctrl_08_instruction_not_logged.webp,পারমিটের সময় লিখে রাখা,নির্দেশ লিখে পড়ে মিলিয়ে নেওয়া,মিটারের রিডিং লিখে রাখা,ডিউটির নাম লিখে রাখা,1,Control Room,"hard,switching_log,phone_instruction,teamwork",নির্দেশ লগবুকে লিখে আবার পড়ে মিলিয়ে তারপর অপারেশন করুন।,TRUE,ctrl_08_instruction_not_logged.webp,,,,
vq-ctrl-09,bn,image_to_text,ল্যাম্প ওপেন দেখাচ্ছে কিন্তু মেকানিক্যাল পজিশন ক্লোজ। এখন কী করবেন?,ctrl_09_indication_mismatch.webp,শুধু ল্যাম্প ঠিক ধরে নেওয়া,শুধু হ্যান্ডেল ঠিক ধরে নেওয়া,আগের স্ট্যাটাস ধরে নেওয়া,অপারেশন থামিয়ে দুটো মেলানো,3,Control Room,"hard,indication_mismatch,breaker_position,teamwork",দুটো ইন্ডিকেশন না মিললে অপারেশন থামিয়ে আসল পজিশন নিশ্চিত করুন।,TRUE,ctrl_09_indication_mismatch.webp,,,,
vq-ctrl-10,bn,image_to_text,রিলে ট্রিপ ফ্ল্যাগ উঠেছে। রিসেটের আগে কী করবেন?,ctrl_10_relay_reset_early.webp,ফ্ল্যাগ নোট করে কারণ দেখা,রিলে সঙ্গে সঙ্গে রিসেট করা,ব্রেকার আবার ক্লোজ করা,অ্যালার্ম সঙ্গে সঙ্গে বন্ধ করা,0,Control Room,"hard,relay_reset,trip,diagnosis",ফ্ল্যাগ আর অ্যালার্ম নোট করে ট্রিপের কারণ দেখার পর রিসেট করুন।,TRUE,ctrl_10_relay_reset_early.webp,,,,
