Folder Name,File Name,File Link,Name_BN,Function_BN,Price,Guide_BN,Related_Keys
Insulators,Porcelain_Pin_2.webp,https://drive.google.com/file/d/1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1/view?usp=drivesdk,পিন ইনসুলেটর (পোরসেলিন),পিনে বসানোর জন্য এলটি বা ১১ কেভি লাইনে ব্যবহৃত হয়।        ,350,"ফাটল বা চিপিং থাকলে ব্যবহার করবেন না।",
Insulators,Guy_Insulator.webp,https://drive.google.com/file/d/1JSmzPpPfrxTPs9V_Sk8k5xakiNsZ6pIh/view?usp=drivesdk,গাই ইনসুলেটর,গাই তারের মাধ্যমে বিদ্যুৎ পরিবাহিত হওয়া রোধ করে।,150,"সঠিক উচ্চতায় (কমপক্ষে ৮ ফুট) গাই ইনসুলেটর বসান।",
Insulators,Reel_Insulator_2.webp,https://drive.google.com/file/d/1MzTJ3tvUGf3sTbYSDEGQ4AlON6mgoQmu/view?usp=drivesdk,রিল ইনসুলেটর	,সার্ভিস লাইনে তার টানার সময় ইনসুলেশন দিতে।,80,"ডি-আইরন এর সাথে মজবুতভাবে আটকান।",
Insulators,Polymer_Pin.webp,https://drive.google.com/file/d/1PRxz7WN-pvm2B1WpL7BIQ6M9u0Y8ef-8/view?usp=drivesdk,পিন ইনসুলেটর (পলিমার)	,পিন ইনসুলেটরের  (পোরসেলিন) হালকা ও টেকসই বিকল্প।,450,"পরিষ্কার রাখুন এবং আর্দ্রতা থেকে দূরে রাখুন।",
Insulators,Shackle_2.webp,https://drive.google.com/file/d/1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ/view?usp=drivesdk,শ্যাকল ইনসুলেটর,বাঁক বা ডেড-এন্ড পয়েন্টে এলটি লাইনের জন্য।,120,"সঠিক সাইজের বোল্ট ব্যবহার করুন।",
Insulators,Porcelain_Disc.webp,https://drive.google.com/file/d/1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI/view?usp=drivesdk,ডিস্ক ইনসুলেটর (পোরসেলিন),হাই ভোল্টেজ লাইনের টেনশন বা সাসপেনশন পয়েন্টে।,850,"বল এবং সকেট জয়েন্ট লুব্রিকেটেড রাখুন।",
Insulators,Reel_Insulator.webp,https://drive.google.com/file/d/1dNK9XwlArtd9yTvaVebPmQAeHKlWxDlQ/view?usp=drivesdk,রিল ইনসুলেটর	,সার্ভিস লাইনে তার টানার সময় ইনসুলেশন দিতে।,80,"ডি-আইরন এর সাথে মজবুতভাবে আটকান।",
Insulators,Porcelain_Disc_2.webp,https://drive.google.com/file/d/1exzdw2fH3kikf9vdjcZb76ZXYpE1t5fr/view?usp=drivesdk,ডিস্ক ইনসুলেটর (পোরসেলিন),হাই ভোল্টেজ লাইনের টেনশন বা সাসপেনশন পয়েন্টে।,850,"বল এবং সকেট জয়েন্ট লুব্রিকেটেড রাখুন।",
Insulators,Polymer_Pin_2.webp,https://drive.google.com/file/d/1jq1UvH_SmJ4BZB7L1e_5zW7S_1cvOIm9/view?usp=drivesdk,পিন ইনসুলেটর (পলিমার)	,পিন ইনসুলেটরের  (পোরসেলিন) হালকা ও টেকসই বিকল্প।,450,"পরিষ্কার রাখুন এবং আর্দ্রতা থেকে দূরে রাখুন।",
Insulators,Glass_Disc_Insulator.webp,https://drive.google.com/file/d/1p5qTEnqJo-FhiblmxCFmwvSaZD1nJZhL/view?usp=drivesdk,কাঁচের ডিস্ক ইনসুলেটর,স্বচ্ছ কাঁচের তৈরি ইনসুলেটর।,950,কোনো অংশ ভাঙা বা ক্র্যাক থাকলে তাৎক্ষণিক পরিবর্তন করুন।,
