id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-swy33-01,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_isolator.webp,লাইটনিং অ্যারেস্টার,আইসোলেটর/ডিসকানেক্টর,আর্থ সুইচ,পোস্ট ইনসুলেটর,1,SWY33 Parts,"hard,swy33,isolator,identify",ব্লেড খুলে লাইন আলাদা করে—আইসোলেটর।,TRUE,swy33_part_isolator.webp,,,,
vq-swy33-02,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_la.webp,পোস্ট ইনসুলেটর,CVT,লাইটনিং অ্যারেস্টার,ওয়েভ ট্র্যাপ,2,SWY33 Parts,"hard,swy33,la,identify",সার্জ/লাইটনিং ভোল্টেজ মাটিতে নামায়—LA।,TRUE,swy33_part_la.webp,,,,
vq-swy33-03,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_ct.webp,কারেন্ট ট্রান্সফরমার,পটেনশিয়াল ট্রান্সফরমার,CVT,ওয়েভ ট্র্যাপ,0,SWY33 Parts,"hard,swy33,ct,identify",প্রাইমারি কারেন্ট মাপে—আউটডোর CT।,TRUE,swy33_part_ct.webp,,,,
vq-swy33-04,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_pt.webp,কারেন্ট ট্রান্সফরমার,পটেনশিয়াল ট্রান্সফরমার,সার্কিট ব্রেকার,মার্শালিং বক্স,1,SWY33 Parts,"hard,swy33,pt,identify",লাইন ভোল্টেজ মাপে—PT/VT।,TRUE,swy33_part_pt.webp,,,,
vq-swy33-05,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_breaker.webp,আইসোলেটর,আর্থ সুইচ,সার্কিট ব্রেকার,বাসবার,2,SWY33 Parts,"hard,swy33,breaker,identify",লোড/ফল্ট কারেন্ট ভাঙে—সার্কিট ব্রেকার।,TRUE,swy33_part_breaker.webp,,,,
vq-swy33-06,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_post_insulator.webp,ডিস্ক ইনসুলেটর স্ট্রিং,পোস্ট ইনসুলেটর,কেবল সিলিং এন্ড,LA,1,SWY33 Parts,"hard,swy33,post_insulator,identify",বাসবার ধরে রাখে খাড়া চিনামাটি—পোস্ট ইনসুলেটর।,TRUE,swy33_part_post_insulator.webp,,,,
vq-swy33-07,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_disc_string.webp,পোস্ট ইনসুলেটর,ওয়েভ ট্র্যাপ,ডিস্ক ইনসুলেটর স্ট্রিং,আর্থ সুইচ,2,SWY33 Parts,"hard,swy33,disc_string,identify",গ্যান্ট্রি থেকে ঝোলানো ডিস্কগুলো—ইনসুলেটর স্ট্রিং।,TRUE,swy33_part_disc_string.webp,,,,
vq-swy33-08,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_earth_switch.webp,আইসোলেটর,আর্থ সুইচ,সার্কিট ব্রেকার,বাসবার,1,SWY33 Parts,"hard,swy33,earth_switch,identify",লাইনের অংশ মাটিতে শর্ট করে—আর্থ সুইচ।,TRUE,swy33_part_earth_switch.webp,,,,
vq-swy33-09,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_busbar.webp,জাম্পার,কেবল সিলিং এন্ড,বাসবার,আর্থ স্ট্রিপ,2,SWY33 Parts,"hard,swy33,busbar,identify",সরঞ্জামের মধ্যে মূল পরিবাহী বার—বাসবার।,TRUE,swy33_part_busbar.webp,,,,
vq-swy33-10,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_gantry.webp,পোর্টাল/গ্যান্ট্রি স্ট্রাকচার,মার্শালিং বক্স,পোস্ট ইনসুলেটর,CVT,0,SWY33 Parts,"hard,swy33,gantry,identify",স্টিল ফ্রেম যেখানে স্ট্রিং ঝোলে—গ্যান্ট্রি।,TRUE,swy33_part_gantry.webp,,,,
vq-swy33-11,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_cvt.webp,পটেনশিয়াল ট্রান্সফরমার,CVT,LA,CT,1,SWY33 Parts,"hard,swy33,cvt,identify",ক্যাপাসিটর স্ট্যাক + VT বেস—CVT।,TRUE,swy33_part_cvt.webp,,,,
vq-swy33-12,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_wave_trap.webp,ওয়েভ ট্র্যাপ/লাইন ট্র্যাপ,ডিস্ক স্ট্রিং,CT,কেবল সিলিং এন্ড,0,SWY33 Parts,"hard,swy33,wave_trap,identify",ক্যারিয়ার কমিউনিকেশন ফ্রিকোয়েন্সি আটকায়—ওয়েভ ট্র্যাপ।,TRUE,swy33_part_wave_trap.webp,,,,
vq-swy33-13,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_cable_sealing.webp,পোস্ট ইনসুলেটর,কেবল সিলিং এন্ড,LA,মার্শালিং বক্স,1,SWY33 Parts,"hard,swy33,cable_sealing,identify",আন্ডারগ্রাউন্ড কেবল আউটডোরে শেষ হয়—সিলিং এন্ড।,TRUE,swy33_part_cable_sealing.webp,,,,
vq-swy33-14,bn,image_to_text,লাইনম্যান যে ৩৩কেভি আউটডোর সুইচইয়ার্ড অংশ দেখাচ্ছে—নাম কী?,swy33_part_marshalling.webp,কন্ট্রোল প্যানেল,মার্শালিং/জংশন বক্স,রিলে প্যানেল,ব্যাটারি ব্যাংক,1,SWY33 Parts,"hard,swy33,marshalling,identify",সেকেন্ডারি ওয়্যারিং জোড়া লাগে—মার্শালিং বক্স।,TRUE,swy33_part_marshalling.webp,,,,
vq-swy33-15,bn,image_to_text,লাইনম্যান যে অংশ দেখাচ্ছে—এর কাজ কী?,swy33_part_isolator.webp,ফল্ট কারেন্ট ভাঙে,দৃশ্যমান আইসোলেশন দেয়,সার্জ ভোল্টেজ নামায়,কারেন্ট মাপে,1,SWY33 Parts,"hard,swy33,isolator,function",আইসোলেটর লোড ছাড়া দৃশ্যমান বিচ্ছিন্নতা দেয়।,TRUE,swy33_part_isolator.webp,,,,
vq-swy33-16,bn,image_to_text,লাইনম্যান যে অংশ দেখাচ্ছে—এর কাজ কী?,swy33_part_la.webp,লাইটনিং/সার্জ ভোল্টেজ মাটিতে নামায়,লাইন ভোল্টেজ মাপে,বাসবার ধরে রাখে,ট্রিপ সিগন্যাল দেয়,0,SWY33 Parts,"hard,swy33,la,function",LA অতিরিক্ত সার্জ ভোল্টেজ আর্থে পাঠায়।,TRUE,swy33_part_la.webp,,,,
vq-swy33-17,bn,image_to_text,লাইনম্যান যে অংশ দেখাচ্ছে—এর কাজ কী?,swy33_part_breaker.webp,শুধু দৃশ্যমান গ্যাপ দেয়,লোড ও ফল্ট কারেন্ট ভাঙে,ক্যারিয়ার সিগন্যাল আটকায়,কেবল টার্মিনেট করে,1,SWY33 Parts,"hard,swy33,breaker,function",সার্কিট ব্রেকার লোড/ফল্ট কারেন্ট নিরাপদে ভাঙে।,TRUE,swy33_part_breaker.webp,,,,
vq-swy33-18,bn,image_to_text,লাইনম্যান যে অংশ দেখাচ্ছে—এর কাজ কী?,swy33_part_earth_switch.webp,লাইন অংশকে আর্থে শর্ট করে,ভোল্টেজ মাপে,সার্জ আটকায়,বাসবার কুলিং করে,0,SWY33 Parts,"hard,swy33,earth_switch,function",আর্থ সুইচ কাজের আগে লাইন অংশ মাটিতে বেঁধে দেয়।,TRUE,swy33_part_earth_switch.webp,,,,
vq-swy33-19,bn,image_to_text,লাইনম্যান যে অংশ দেখাচ্ছে—এর কাজ কী?,swy33_part_ct.webp,লাইন ভোল্টেজ মাপে,প্রাইমারি কারেন্ট মাপে রিলেকে দেয়,আর্ক নিভায়,ইন্টারলক করে,1,SWY33 Parts,"hard,swy33,ct,function",CT কারেন্ট মাপে প্রটেকশন/মিটারিংয়ে দেয়।,TRUE,swy33_part_ct.webp,,,,
vq-swy33-20,bn,image_to_text,লাইনম্যান যে অংশ দেখাচ্ছে—এর কাজ কী?,swy33_part_wave_trap.webp,পাওয়ার ফ্রিকোয়েন্সি আটকায়,ক্যারিয়ার কমিউনিকেশন সিগন্যাল আটকায়,তেল ঠান্ডা করে,স্প্রিং চার্জ করে,1,SWY33 Parts,"hard,swy33,wave_trap,function",ওয়েভ ট্র্যাপ PLCC/ক্যারিয়ার ফ্রিকোয়েন্সি লাইনে আটকায়।,TRUE,swy33_part_wave_trap.webp,,,,
vq-swy33-21,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি লাইটনিং অ্যারেস্টার?,,swy33_part_post_insulator.webp,swy33_part_la.webp,swy33_part_ct.webp,swy33_part_isolator.webp,1,SWY33 Parts,"hard,swy33,la,text_to_image",স্ট্যাক করা চিনামাটি + আর্থ লিড—LA।,TRUE,,swy33_part_post_insulator.webp,swy33_part_la.webp,swy33_part_ct.webp,swy33_part_isolator.webp
vq-swy33-22,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি আইসোলেটর?,,swy33_part_breaker.webp,swy33_part_earth_switch.webp,swy33_part_isolator.webp,swy33_part_busbar.webp,2,SWY33 Parts,"hard,swy33,isolator,text_to_image",খোলা ব্লেড দিয়ে দৃশ্যমান গ্যাপ—আইসোলেটর।,TRUE,,swy33_part_breaker.webp,swy33_part_earth_switch.webp,swy33_part_isolator.webp,swy33_part_busbar.webp
vq-swy33-23,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি আউটডোর CT?,,swy33_part_ct.webp,swy33_part_pt.webp,swy33_part_cvt.webp,swy33_part_la.webp,0,SWY33 Parts,"hard,swy33,ct,text_to_image",লম্বা পোর্সলিন CT—কারেন্ট মাপার যন্ত্র।,TRUE,,swy33_part_ct.webp,swy33_part_pt.webp,swy33_part_cvt.webp,swy33_part_la.webp
vq-swy33-24,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি সার্কিট ব্রেকার?,,swy33_part_isolator.webp,swy33_part_breaker.webp,swy33_part_gantry.webp,swy33_part_marshalling.webp,1,SWY33 Parts,"hard,swy33,breaker,text_to_image",ট্যাংক/পোল সহ সুইচিং ডিভাইস—সার্কিট ব্রেকার।,TRUE,,swy33_part_isolator.webp,swy33_part_breaker.webp,swy33_part_gantry.webp,swy33_part_marshalling.webp
vq-swy33-25,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি ডিস্ক ইনসুলেটর স্ট্রিং?,,swy33_part_post_insulator.webp,swy33_part_disc_string.webp,swy33_part_wave_trap.webp,swy33_part_cable_sealing.webp,1,SWY33 Parts,"hard,swy33,disc_string,text_to_image",গ্যান্ট্রি থেকে ঝোলানো ডিস্ক চেইন—স্ট্রিং।,TRUE,,swy33_part_post_insulator.webp,swy33_part_disc_string.webp,swy33_part_wave_trap.webp,swy33_part_cable_sealing.webp
vq-swy33-26,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি আর্থ সুইচ?,,swy33_part_isolator.webp,swy33_part_busbar.webp,swy33_part_earth_switch.webp,swy33_part_la.webp,2,SWY33 Parts,"hard,swy33,earth_switch,text_to_image",ব্লেড আর্থের দিকে নামানো—আর্থ সুইচ।,TRUE,,swy33_part_isolator.webp,swy33_part_busbar.webp,swy33_part_earth_switch.webp,swy33_part_la.webp
vq-swy33-27,bn,text_to_image,নিচের ছবিগুলোর মধ্যে কোনটি CVT?,,swy33_part_pt.webp,swy33_part_ct.webp,swy33_part_la.webp,swy33_part_cvt.webp,3,SWY33 Parts,"hard,swy33,cvt,text_to_image",ক্যাপাসিটর স্ট্যাক ও বেস ইউনিট—CVT।,TRUE,,swy33_part_pt.webp,swy33_part_ct.webp,swy33_part_la.webp,swy33_part_cvt.webp
vq-swy33-28,bn,text_to_image,সার্জ ভোল্টেজ মাটিতে নামানোর সরঞ্জাম—কোন ছবি?,,swy33_part_ct.webp,swy33_part_la.webp,swy33_part_wave_trap.webp,swy33_part_marshalling.webp,1,SWY33 Parts,"hard,swy33,la,function,text_to_image",সার্জ আর্থে নামায় লাইটনিং অ্যারেস্টার।,TRUE,,swy33_part_ct.webp,swy33_part_la.webp,swy33_part_wave_trap.webp,swy33_part_marshalling.webp
