id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-185,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr__dog.png,ACSR Dog,ACSR Weasel,ACSR Fox,ACSR Rabbit,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr__dog.png,,,,
vq-186,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr__dog.png,ACSR Dog,ACSR Weasel,ACSR Fox,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr__dog.png,,,,
vq-187,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr__dog.png,ACSR Dog,ACSR Weasel,ACSR Rabbit,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr__dog.png,,,,
vq-188,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr__dog.png,ACSR Dog,ACSR Fox,ACSR Rabbit,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr__dog.png,,,,
vq-189,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Weasel_Conductor_.png,ACSR Weasel,ACSR Dog,ACSR Fox,ACSR Rabbit,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Weasel_Conductor_.png,,,,
vq-190,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Weasel_Conductor_.png,ACSR Weasel,ACSR Dog,ACSR Fox,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Weasel_Conductor_.png,,,,
vq-191,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Weasel_Conductor_.png,ACSR Weasel,ACSR Dog,ACSR Rabbit,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Weasel_Conductor_.png,,,,
vq-192,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Weasel_Conductor_.png,ACSR Weasel,ACSR Fox,ACSR Rabbit,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Weasel_Conductor_.png,,,,
vq-193,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr_fox.png,ACSR Fox,ACSR Dog,ACSR Weasel,ACSR Rabbit,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr_fox.png,,,,
vq-194,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr_fox.png,ACSR Fox,ACSR Dog,ACSR Weasel,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr_fox.png,,,,
vq-195,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr_fox.png,ACSR Fox,ACSR Dog,ACSR Rabbit,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr_fox.png,,,,
vq-196,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,acsr_fox.png,ACSR Fox,ACSR Weasel,ACSR Rabbit,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,acsr_fox.png,,,,
vq-197,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Rabbit_Conductor_.png,ACSR Rabbit,ACSR Dog,ACSR Weasel,ACSR Fox,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Rabbit_Conductor_.png,,,,
vq-198,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Rabbit_Conductor_.png,ACSR Rabbit,ACSR Dog,ACSR Weasel,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Rabbit_Conductor_.png,,,,
vq-199,bn,image_to_text,ছবিতে দেখানো ACSR কন্ডাক্টরের সঠিক নাম কোনটি?,ACSR_Rabbit_Conductor_.png,ACSR Rabbit,ACSR Dog,ACSR Fox,ACSR Mink,0,Conductors,"acsr,identification,name",ছবির ক্রস-সেকশন ডায়াগ্রাম ও তারের গঠন দেখে পরিচিত ACSR নাম শনাক্ত করুন।,TRUE,ACSR_Rabbit_Conductor_.png,,,,
