id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled,preview_q,preview_o1,preview_o2,preview_o3,preview_o4
vq-ptr-01,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_conservator.webp,কনজারভেটর ট্যাংক,মেইন অয়েল ট্যাংক,রেডিয়েটর ব্যাংক,বুখজ রিলে,0,PTR Parts,"hard,ptr,conservator,identify",উপরের ছোট তেলের ট্যাংক—কনজারভেটর।,TRUE,ptr_part_conservator.webp,,,,
vq-ptr-02,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_breather.webp,বুখজ রিলে,সিলিকা জেল ব্রিদার,এক্সপ্লোশন ভেন্ট,অয়েল লেভেল গেজ,1,PTR Parts,"hard,ptr,breather,identify",কনজারভেটরের নিচে জেল-ক্যানিস্টার—ব্রিদার।,TRUE,ptr_part_breather.webp,,,,
vq-ptr-03,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_buchholz.webp,সিলিকা জেল ব্রিদার,অয়েল লেভেল গেজ,বুখজ রিলে,ট্যাপ চেঞ্জার,2,PTR Parts,"hard,ptr,buchholz,identify",কনজারভেটর ও ট্যাংকের পাইপের মাঝে—বুখজ রিলে।,TRUE,ptr_part_buchholz.webp,,,,
vq-ptr-04,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_radiator.webp,মেইন অয়েল ট্যাংক,রেডিয়েটর ব্যাংক,কনজারভেটর ট্যাংক,এইচটি বুশিং,1,PTR Parts,"hard,ptr,radiator,identify",পাশের পাখনা/ফিন ওয়ালা অংশ—রেডিয়েটর।,TRUE,ptr_part_radiator.webp,,,,
vq-ptr-05,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_ht_bushing.webp,এলটি বুশিং,এইচটি বুশিং,অার্কিং হর্ন,টার্মিনাল লগ,1,PTR Parts,"hard,ptr,ht_bushing,identify",লম্বা চিনামাটির বুশিং—এইচটি সাইড।,TRUE,ptr_part_ht_bushing.webp,,,,
vq-ptr-06,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_lt_bushing.webp,এলটি বুশিং,এইচটি বুশিং,নিউট্রাল লিঙ্ক,কনজারভেটর পাইপ,0,PTR Parts,"hard,ptr,lt_bushing,identify",ছোট কয়েকটা বুশিং একসঙ্গে—এলটি সাইড।,TRUE,ptr_part_lt_bushing.webp,,,,
vq-ptr-07,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_oil_gauge.webp,ট্যাপ চেঞ্জার,ড্রেন ভালভ,অয়েল লেভেল গেজ,প্রেসার রিলিফ,2,PTR Parts,"hard,ptr,oil_gauge,identify",কনজারভেটরে তেলের উচ্চতা দেখায়—অয়েল লেভেল গেজ।,TRUE,ptr_part_oil_gauge.webp,,,,
vq-ptr-08,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_drain_valve.webp,ফিল ভালভ,ড্রেন ভালভ,স্যাম্পল ভালভ,অয়েল লেভেল গেজ,1,PTR Parts,"hard,ptr,drain_valve,identify",ট্যাংকের নিচে তেল নামানোর ভালভ—ড্রেন ভালভ।,TRUE,ptr_part_drain_valve.webp,,,,
vq-ptr-09,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_tap_changer.webp,বুখজ রিলে,অয়েল লেভেল গেজ,সিলিকা জেল ব্রিদার,ট্যাপ চেঞ্জার,3,PTR Parts,"hard,ptr,tap_changer,identify",ভোল্টেজ ট্যাপ বদলানোর হাতল/ডায়াল—ট্যাপ চেঞ্জার।,TRUE,ptr_part_tap_changer.webp,,,,
vq-ptr-10,bn,image_to_text,লাইনম্যান যে PTR অংশ দেখাচ্ছে—নাম কী?,ptr_part_explosion_vent.webp,এক্সপ্লোশন ভেন্ট,বুখজ রিলে,সিলিকা জেল ব্রিদার,কনজারভেটর ট্যাংক,0,PTR Parts,"hard,ptr,explosion_vent,identify",অতিরিক্ত প্রেসারে খুলে চাপ ছাড়ে—এক্সপ্লোশন ভেন্ট/PRD।,TRUE,ptr_part_explosion_vent.webp,,,,
