id,language,question_type,question_text,question_image_url,option_1,option_2,option_3,option_4,correct_index,category,tags,hint,enabled
vq-410,bn,image_to_text,ছবিতে বজ্রঝড়ের সময় লাইনম্যান কোন ভুল করছেন?,vq_wx_lightning_pole.webp,বজ্রপাত চলাকালীন পোলে উঠে কাজ করছেন,হেলমেট পরে নিরাপদে পোলে উঠছেন,টুল ব্যাগ নিয়ে পোলে কাজ করছেন,পোলের গোড়া আগে পরীক্ষা করছেন,0,Weather Night Safety,"lightning,storm,height,medium",বজ্রপাতের সম্ভাবনা থাকলে উচ্চতায় ও ধাতব স্ট্রাকচারে কাজ স্থগিত রাখতে হয়।,TRUE
vq-411,bn,image_to_text,ভারী বৃষ্টিতে এই কাজ চালিয়ে যাওয়ায় মূল ঝুঁকি কোনটি?,vq_wx_rain_climb.webp,হেলমেট ভিজে গেলে রঙ উঠে যাওয়া,ভেজা পোলে স্লিপ ও শকের ঝুঁকি বেড়ে যাওয়া,টুল ব্যাগ ভারী হয়ে কাজ ধীর হওয়া,পোলের রং উঠে গেলে দেখতে খারাপ,1,Weather Night Safety,"rain,climb,slip,medium",ভেজা পোল ও সরঞ্জামে স্লিপ ও পরিবাহিতা বাড়ে; নিরাপদ আবহাওয়ায় কাজ করা উচিত।,TRUE
vq-412,bn,image_to_text,রাতের ফল্ট কাজে ছবিতে কোন সুরক্ষা বাদ পড়েছে?,vq_wx_night_dark.webp,হেলমেট ও গ্লাভস পরা হয়নি,টুল ব্যাগ মাটিতে ফেলে রাখা,পর্যাপ্ত কাজের আলো ব্যবস্থা নেই,পোল নম্বর প্লেট খুলে ফেলা,2,Weather Night Safety,"night,lighting,medium",রাতের কাজে পর্যাপ্ত আলো ছাড়া ভুল সেকশন ও পতনের ঝুঁকি বাড়ে।,TRUE
vq-413,bn,image_to_text,ঘন কুয়াশায় ছবিতে কোন বিপজ্জনক ভুল হতে পারে?,vq_wx_fog_pole.webp,হেলমেট খুলে মাটিতে রেখে দেওয়া,টুল মাটিতে এলোমেলো রাখা,ক্রস আর্ম পরিষ্কার না করে ওঠা,ফিডার বা পোল পরিচয় না মিলিয়ে ওঠা,3,Weather Night Safety,"fog,identity,hard",কম দৃশ্যমানতায় পোল ও ফিডার আইডেন্টিটি যাচাই না করলে ভুল লাইনে কাজ হতে পারে।,TRUE
vq-414,bn,image_to_text,ঝোড়ো হাওয়ায় ছবিতে কোন ভুলটি স্পষ্ট?,vq_wx_wind_ladder.webp,অনিরাপদভাবে মই বেঁধে না রেখে ওঠা,হেলমেট পরে মই দিয়ে ওঠা,টুল ব্যাগ কাঁধে নিয়ে ওঠা,পোলের তার আগে দেখে নেওয়া,0,Weather Night Safety,"wind,ladder,medium",ঝোড়ো হাওয়ায় মই স্থির না রেখে উঠলে পতনের ঝুঁকি খুব বেশি।,TRUE
vq-415,bn,image_to_text,প্লাবিত জায়গায় পড়া তারের কাছে কী করা ভুল?,vq_wx_flood_wire.webp,দূরে থেকে সাপ্লাই বিচ্ছিন্ন করানো,জলের দিকে এগিয়ে তারের কাছে যাওয়া,এলাকা সতর্ক করে দূরে রাখা,কন্ট্রোল রুমকে খবর দিয়ে রাখা,1,Weather Night Safety,"flood,step_voltage,hard",প্লাবিত মাটিতে পড়া লাইভ তারের কাছে স্টেপ ভোল্টেজ প্রাণঘাতী হতে পারে।,TRUE
vq-416,bn,image_to_text,রাতে লাইন চালু করার আগে ছবিতে কী ভুল রয়ে গেছে?,vq_wx_night_earth_on.webp,হেলমেট সঠিকভাবে পরা আছে,টুল ব্যাগ নিচে সরানো হয়েছে,লাইনে আর্থিং ক্ল্যাম্প এখনও লাগানো,পোল এলাকা পরিষ্কার করা হয়েছে,2,Weather Night Safety,"night,earthing,restore,hard",চালুর আগে আর্থিং ও টুল সম্পূর্ণ সরানো নিশ্চিত করতে হয়।,TRUE
vq-417,bn,image_to_text,ভেজা আবহাওয়ায় লাইন পরীক্ষায় কোন ভুল হচ্ছে?,vq_wx_wet_hand_test.webp,অ্যাপ্রুভড টেস্টার দিয়ে পরীক্ষা,ইনসুলেটেড গ্লাভস পরে কাজ,দুই ফেজে আলাদা করে টেস্ট,ভেজা হাতে সরাসরি তার ছোঁয়া,3,Weather Night Safety,"rain,testing,medium",লাইন ডেড আছে কিনা নির্ধারিত টেস্টারে দেখতে হয়; ভেজা হাতে ছোঁয়া নিষিদ্ধ।,TRUE
vq-418,bn,image_to_text,সাবস্টেশনের বাইরের প্যানেলে বৃষ্টিতে কোন ভুল?,vq_wx_ss_panel_rain.webp,খোলা প্যানেলে বৃষ্টির জল ঢুকতে দেওয়া,প্যানেল বন্ধ রেখে বাইরে থেকে দেখা,হেলমেট পরে নিরাপদ দূরত্বে থাকা,দূর থেকে শুধু পরিদর্শন করা,0,Weather Night Safety,"substation,rain,panel,hard",বাইরের প্যানেল খোলা রেখে বৃষ্টিতে কাজ করলে শর্ট ও শকের ঝুঁকি বাড়ে।,TRUE
vq-419,bn,image_to_text,রাতের উচ্চতায় কাজে ছবিতে কোন নিরাপত্তা ঘাটতি?,vq_wx_night_alone.webp,হেলমেট সঠিকভাবে পরা আছে,গ্রাউন্ডম্যান বা সঙ্গী ছাড়া একা পোলে ওঠা,টুল ব্যাগ কোমরে বাঁধা আছে,পোল মজবুত দেখে নেওয়া হয়েছে,1,Weather Night Safety,"night,alone,team,medium",রাতের উচ্চতায় কাজে ন্যূনতম দলগত সহায়তা ও সংকেত রাখা জরুরি।,TRUE
vq-420,bn,image_to_text,ঝড়ে ক্ষতিগ্রস্ত ডিটিআরের নিচে দাঁড়ানো কেন ভুল?,vq_wx_storm_under_dtr.webp,হেলমেট পরলেই সম্পূর্ণ নিরাপদ,টুল বহন করলেই বিপদ বাড়ে,পতন বা ফ্ল্যাশওভারের সরাসরি আঘাতের ঝুঁকি,পোল দূরে থাকলে কোনো ঝুঁকি নেই,2,Weather Night Safety,"storm,dtr,public_safety,hard",ঝড়ে হেলে যাওয়া বা ক্ষতিগ্রস্ত ডিটিআরের নিচে দাঁড়ানো প্রাণঘাতী।,TRUE
vq-421,bn,image_to_text,বৃষ্টিতে ইনসুলেটিং গ্লাভসের কোন সমস্যা দেখা যাচ্ছে?,vq_wx_wet_glove_hole.webp,গ্লাভস নতুন ও পরিষ্কার আছে,গ্লাভস হলুদ রঙের বলে ভুল,গ্লাভস ব্যাগে রেখে আসা হয়েছে,গ্লাভসে ফুটো থাকা অবস্থায় ব্যবহার,3,Weather Night Safety,"ppe,gloves,rain,easy",ফুটো বা ক্ষতিগ্রস্ত রাবার গ্লাভস শক থেকে রক্ষা করে না; বাতিল করতে হয়।,TRUE
vq-422,bn,image_to_text,ডিটিআর কোর খুলে উইন্ডিংয়ের এই স্থানচ্যুতি সাধারণত কী নির্দেশ করে?,vq_dtr_axial_winding.webp,শর্ট সার্কিট বলের কারণে অক্ষীয় স্থানচ্যুতি,শুধুমাত্র ট্যাঙ্কে তেল কম থাকা,সিলিকা জেল সম্পূর্ণ শুকনো থাকা,বুশিং বাইরে নোংরা হয়ে থাকা,0,DTR Core Failure,"axial,short_circuit,mechanical,hard",অক্ষীয় টেলিস্কোপিং বা স্থানচ্যুতি প্রায়ই তীব্র শর্ট সার্কিট মেকানিক্যাল ফোর্সের লক্ষণ।,TRUE
vq-423,bn,image_to_text,ভিতরের উইন্ডিং এভাবে বেঁকে যাওয়া সাধারণত কোন ব্যর্থতার ইঙ্গিত?,vq_dtr_radial_buckle.webp,শুধুমাত্র কোরের রং উঠে যাওয়া,রেডিয়াল বাকলিং বা শর্ট সার্কিট চাপ,তেলের রঙ সামান্য পরিবর্তন,কনজারভেটর ট্যাঙ্ক খালি থাকা,1,DTR Core Failure,"radial,buckling,short_circuit,hard",ইনার উইন্ডিংয়ের রেডিয়াল বাকলিং শর্ট সার্কিট চাপের ক্লাসিক লক্ষণ।,TRUE
vq-424,bn,image_to_text,উইন্ডিংয়ের এক জায়গায় পোড়া দাগ সাধারণত কী বোঝায়?,vq_dtr_hotspot_overload.webp,শুধুমাত্র বাইরের ময়লা জমা,সিলিকা জেল এখনও ভালো থাকা,স্থানীয় হটস্পট বা দীর্ঘ ওভারলোড,ট্যাঙ্কের বাইরের রং খারাপ,2,DTR Core Failure,"hotspot,overload,thermal,medium",লোকাল হটস্পট প্রায়ই দীর্ঘ ওভারলোড বা খারাপ কুলিং বা লুজ কানেকশনের ফল।,TRUE
vq-425,bn,image_to_text,কোর বোল্টের চারপাশে গোল পোড়া দাগ কী নির্দেশ করে?,vq_dtr_core_bolt_burn.webp,শুধুমাত্র পেইন্ট উঠে যাওয়া,তেল সম্পূর্ণ নতুন ভরা থাকা,বুশিং খুব শক্ত করে বাঁধা,কোর বোল্ট ইনসুলেশন নষ্ট হয়ে সঞ্চালিত কারেন্ট,3,DTR Core Failure,"core_bolt,circulating_current,hard",কোর বোল্টের ইনসুলেশন নষ্ট হলে সঞ্চালিত কারেন্টে স্থানীয় পোড়া দাগ পড়ে।,TRUE
vq-426,bn,image_to_text,উইন্ডিং থেকে ট্যাঙ্ক দেয়ালে কালো দাগ কোন ধরনের ফল্টের ইঙ্গিত?,vq_dtr_flash_to_tank.webp,ইনসুলেশন ব্রেকডাউন বা ফ্ল্যাশওভার ট্র্যাক,শুধুমাত্র বাইরের আঁচড়ের দাগ,সিলিকা জেল সময়মতো বদলানো,ট্যাঙ্কে নতুন তেল ভর্তি করা,0,DTR Core Failure,"flashover,insulation,track,hard",উইন্ডিং থেকে ট্যাঙ্কে কার্বন ট্র্যাক ইনসুলেশন ব্রেকডাউন বা আর্দ্রতার ইঙ্গিত।,TRUE
vq-427,bn,image_to_text,লিড বা বেরোনো কন্ডাক্টর গলে যাওয়া সাধারণত কী কারণে হয়?,vq_dtr_lead_melt.webp,শুধুমাত্র ট্যাঙ্কের রং খারাপ হওয়া,লুজ কানেকশন বা বাইরের ফল্টে অতিরিক্ত তাপ,সিলিকা জেল নীল রঙে থাকা,প্যাড বা প্লাটফর্ম বাঁকা থাকা,1,DTR Core Failure,"lead,overheat,connection,medium",লিড গলন প্রায়ই লুজ জয়েন্ট বা বাইরের হাই কারেন্ট ফল্টের তাপের ফল।,TRUE
vq-428,bn,image_to_text,কোর ল্যামিনেশনে মরিচা ও আর্দ্রতার দাগ কী বোঝায়?,vq_dtr_rusty_core.webp,শুধুমাত্র বাইরের ধুলো জমা,ফিউজ তার মোটা করে বাঁধা,আর্দ্রতা ঢোকা বা সিল ব্যর্থতা,পোল নম্বর প্লেট ভুল থাকা,2,DTR Core Failure,"moisture,rust,sealing,medium",মরিচা ও আর্দ্রতা ট্যাঙ্ক লিক বা সিলিকা জেল ব্যর্থতার ইঙ্গিত দেয়।,TRUE
vq-429,bn,image_to_text,ইয়োকের কিনারায় পোড়া দাগ কোন সমস্যার ইঙ্গিত দিতে পারে?,vq_dtr_overflux_yoke.webp,শুধুমাত্র ট্যাঙ্কে তেল কম থাকা,টুল ব্যাগ অতিরিক্ত ভারী থাকা,পোলের রং উঠে গেছে বলে ধরা,ওভারফ্লাক্সিং বা অতিরিক্ত ভোল্টেজ স্ট্রেস,3,DTR Core Failure,"overflux,overvoltage,yoke,hard",ইয়োকের কিনারা পোড়া প্রায়ই ওভারভোল্টেজ বা ওভারফ্লাক্সিংয়ের লক্ষণ।,TRUE
